"제어번호","제목","저자","발행처","발행년도","ISBN번호","분류기호","대출횟수"
"000001630610","눈에 갇힌 외딴 산장에서","히가시노 게이고 지음","재인","2023","9791192483191","8","7"
"000001632347","당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까 :쇼펜하우어 아포리즘","아르투어 쇼펜하우어 지음","포레스트북스: 콘텐츠북스 포레스트","2023","9791192625553","1","7"
"000001653189","당신이 알아야 할 현대 중국의 모든 것 :마르크스주의 관점","이정구 지음","책갈피","2023","9788979662665","9","7"
"000001360488","더 해빙 :부와 행운을 끌어당기는 힘 =The having","이서윤","수오서재","2020","9791190382175","3","7"
"000001619599","도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법","요한 하리 지음","어크로스 : 어크로스출판그룹","2023","9791167740984","1","7"
"000001644122","돈의 태도 :평범한 사람 30명이 경제적 자유를 얻어낸 비밀 8가지","조너선 클레멘츠 지음","동양북스","2023","9791157689569","3","7"
"000000005212","두근두근 내 인생 :김애란 장편소설","김애란 지음","창비","2011","9788936433871","8","7"
"000001525305","럭키 드로우 :나만의 길을 찾을 때까지 인생의 레버를 당기는 법 =Lucky draw","드로우앤드류 지음","다산북스","2022","9791130679822","3","7"
"000001644152","로터스 택시에는 특별한 손님이 탑니다","가토 겐 지음","필름","2023","9791193262047","8","7"
"000001633594","맡겨진 소녀 :클레어 키건 소설","클레어 키건 지음","다산책방 : 다산북스","2023","9791130698199","8","7"
"000001628958","매스커레이드 게임 :히가시노 게이고 장편소설 =Masquerade game","히가시노 게이고 지음","현대문학","2023","9791167901996","8","7"
"000000269529","매스커레이드 호텔 :히가시노 게이고 장편소설 =Masquerade hotel","히가시노 게이고 지음","현대문학","2012","9788972756125","8","7"
"000000035655","모순 :양귀자 장편소설","양귀자 지음","살림출판사","1998","8985577921","8","7"
"000001359312","목소리를 드릴게요 :정세랑 소설집","정세랑 지음","아작","2020","9791165300005","8","7"
"000001523906","물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기","룰루 밀러 지음","곰출판","2021","9791189327156","4","7"
"000000643532","미움받을 용기 :자유롭고 행복한 삶을 위한 아들러의 가르침","기시미 이치로","인플루엔셜","2014","9788996991342","1","7"
"000001591979","바다가 들리는 편의점","마치다 소노코 지음","모모 : 바이포엠 스튜디오","2023","9791192579504","8","7"
"000001185774","방구석 미술관 :가볍고 편하게 시작하는 유쾌한 교양 미술","조원재 지음","백도씨: 블랙피쉬","2018","9788968331862","6","7"
"000001589481","배터리 전쟁 :리튬부터 2차 전지까지, 누가 새로운 경제 영토를 차지할 것인가 =Battery war","루카스 베드나르스키 지음","위즈덤하우스","2023","9791168125353","3","7"
"000001556900","부의 인문학 :슈퍼리치의 서재에서 찾아낸 부자의 길","우석 지음","Openmind(오픈마인드)","2022","9791196851200","3","7"
"000000970990","부의 추월차선 :30대에 억대 연봉을 만드는 55가지 역발상 .[2] ,직장인 편","고도 토키오 지음","북새통: 토트출판사","2017","9791187444084","3","7"
"000001550976","브라질에 비가 내리면 스타벅스 주식을 사라 :경제의 큰 흐름에서 기회를 잡는 매크로 투자 가이드","피터 나바로 지음","에프엔미디어","2022","9791188754588","3","7"
"000000298646","브람스를 좋아하세요..","프랑수아즈 사강 지음","민음사","2011","9788937461798","8","7"
